n,config,threads,time
1000000,pthread,2,0.049603
1000000,omp_static,2,0.053054
1000000,omp_dynamic,2,0.032603
1000000,pthread,4,0.025887
1000000,omp_static,4,0.027544
1000000,omp_dynamic,4,0.024547
1000000,pthread,8,0.014486
1000000,omp_static,8,0.015819
1000000,omp_dynamic,8,0.047254
1500000,serial,1,0.086007
1500000,pthread,2,0.086946
1500000,omp_static,2,0.092042
1500000,omp_dynamic,2,0.054716
1500000,pthread,4,0.045226
1500000,omp_static,4,0.047993
1500000,omp_dynamic,4,0.038470
1500000,pthread,8,0.025162
1500000,omp_static,8,0.027209
1500000,omp_dynamic,8,0.067821
2000000,serial,1,0.128312
2000000,pthread,2,0.129564
2000000,omp_static,2,0.136824
2000000,omp_dynamic,2,0.079603
2000000,pthread,4,0.067837
2000000,omp_static,4,0.071860
2000000,omp_dynamic,4,0.053905
2000000,pthread,8,0.037612
2000000,omp_static,8,0.040359
2000000,omp_dynamic,8,0.086707
2500000,serial,1,0.174640
2500000,pthread,2,0.176624
2500000,omp_static,2,0.186801
2500000,omp_dynamic,2,0.106798
2500000,pthread,4,0.091534
2500000,omp_static,4,0.096730
2500000,omp_dynamic,4,0.070090
2500000,pthread,8,0.050803
2500000,omp_static,8,0.054625
2500000,omp_dynamic,8,0.107095
3000000,serial,1,0.224920
3000000,pthread,2,0.228376
3000000,omp_static,2,0.239456
3000000,omp_dynamic,2,0.135712
3000000,pthread,4,0.118478
3000000,omp_static,4,0.124065
3000000,omp_dynamic,4,0.087213
3000000,pthread,8,0.065463
3000000,omp_static,8,0.069734
3000000,omp_dynamic,8,0.126654
3500000,serial,1,0.278955
3500000,pthread,2,0.282484
3500000,omp_static,2,0.296177
3500000,omp_dynamic,2,0.167335
3500000,pthread,4,0.146105
3500000,omp_static,4,0.153418
3500000,omp_dynamic,4,0.105366
3500000,pthread,8,0.080918
3500000,omp_static,8,0.086058
3500000,omp_dynamic,8,0.145447
4000000,serial,1,0.336929
4000000,pthread,2,0.340468
4000000,omp_static,2,0.355340
4000000,omp_dynamic,2,0.199241
4000000,pthread,4,0.176482
4000000,omp_static,4,0.183768
4000000,omp_dynamic,4,0.124231
4000000,pthread,8,0.097409
4000000,omp_static,8,0.103402
4000000,omp_dynamic,8,0.165079
4500000,serial,1,0.397043
4500000,pthread,2,0.415101
4500000,omp_static,2,0.427089
4500000,omp_dynamic,2,0.234762
4500000,pthread,4,0.207812
4500000,omp_static,4,0.216809
4500000,omp_dynamic,4,0.143871
4500000,pthread,8,0.114990
4500000,omp_static,8,0.121467
4500000,omp_dynamic,8,0.184095
5000000,serial,1,0.459763
5000000,pthread,2,0.465611
5000000,omp_static,2,0.485631
5000000,omp_dynamic,2,0.268807
5000000,pthread,4,0.240769
5000000,omp_static,4,0.251598
5000000,omp_dynamic,4,0.164704
5000000,pthread,8,0.132859
5000000,omp_static,8,0.140659
5000000,omp_dynamic,8,0.204243
5500000,serial,1,0.525855
5500000,pthread,2,0.532555
5500000,omp_static,2,0.555227
5500000,omp_dynamic,2,0.308465
5500000,pthread,4,0.275307
5500000,omp_static,4,0.287657
5500000,omp_dynamic,4,0.187564
5500000,pthread,8,0.152686
5500000,omp_static,8,0.161072
5500000,omp_dynamic,8,0.223923
6000000,serial,1,0.596120
6000000,pthread,2,0.605226
6000000,omp_static,2,0.625382
6000000,omp_dynamic,2,0.345811
6000000,pthread,4,0.334076
6000000,omp_static,4,0.329268
6000000,omp_dynamic,4,0.210648
6000000,pthread,8,0.172356
6000000,omp_static,8,0.180392
6000000,omp_dynamic,8,0.244017
6500000,serial,1,0.663500
6500000,pthread,2,0.676665
6500000,omp_static,2,0.702062
6500000,omp_dynamic,2,0.382600
6500000,pthread,4,0.347425
6500000,omp_static,4,0.360671
6500000,omp_dynamic,4,0.230444
6500000,pthread,8,0.191524
6500000,omp_static,8,0.201448
6500000,omp_dynamic,8,0.263450
7000000,serial,1,0.737747
7000000,pthread,2,0.748972
7000000,omp_static,2,0.780480
7000000,omp_dynamic,2,0.424726
7000000,pthread,4,0.385900
7000000,omp_static,4,0.400803
7000000,omp_dynamic,4,0.253030
7000000,pthread,8,0.213302
7000000,omp_static,8,0.225072
7000000,omp_dynamic,8,0.284797
7500000,serial,1,0.838808
7500000,pthread,2,0.824278
7500000,omp_static,2,0.853879
7500000,omp_dynamic,2,0.479637
7500000,pthread,4,0.428536
7500000,omp_static,4,0.443630
7500000,omp_dynamic,4,0.276514
7500000,pthread,8,0.233989
7500000,omp_static,8,0.245765
7500000,omp_dynamic,8,0.304194
8000000,serial,1,0.890551
8000000,pthread,2,0.949271
8000000,omp_static,2,1.055604
8000000,omp_dynamic,2,0.528290
8000000,pthread,4,0.485118
8000000,omp_static,4,0.496030
8000000,omp_dynamic,4,0.309735
8000000,pthread,8,0.309109
8000000,omp_static,8,0.340558
8000000,omp_dynamic,8,0.335249
8500000,serial,1,1.001580
8500000,pthread,2,1.046981
8500000,omp_static,2,1.027888
8500000,omp_dynamic,2,0.554289
8500000,pthread,4,0.512253
8500000,omp_static,4,0.531031
8500000,omp_dynamic,4,0.325960
8500000,pthread,8,0.280259
8500000,omp_static,8,0.292684
8500000,omp_dynamic,8,0.347366
9000000,serial,1,1.067057
9000000,pthread,2,1.095027
9000000,omp_static,2,1.110113
9000000,omp_dynamic,2,0.600420
9000000,pthread,4,0.578747
9000000,omp_static,4,0.572367
9000000,omp_dynamic,4,0.350618
9000000,pthread,8,0.301955
9000000,omp_static,8,0.319426
9000000,omp_dynamic,8,0.380451
9500000,serial,1,1.245219
9500000,pthread,2,1.159308
9500000,omp_static,2,1.192230
9500000,omp_dynamic,2,0.644478
9500000,pthread,4,0.596921
9500000,omp_static,4,0.614931
9500000,omp_dynamic,4,0.377405
9500000,pthread,8,0.325486
9500000,omp_static,8,0.340926
9500000,omp_dynamic,8,0.389010
