timestamp,jobid,n,processes,threads,distribution,schedule,computation_time,total_time,primes_found
2026-09-17T14:25:35Z,140405,100000000,2,8,cyclic,guided,3.384565,4.350360,5761455
2026-09-17T14:25:36Z,140402,100000000,2,4,cyclic,dynamic,6.703139,7.553216,5761455
2026-09-17T14:25:36Z,140408,100000000,4,2,cyclic,dynamic,6.771997,7.573280,5761455
2026-09-17T14:25:37Z,140403,100000000,2,4,weighted,dynamic,6.939371,7.494858,5761455
2026-09-17T14:25:37Z,140398,100000000,2,2,block,static,16.771759,17.265189,5761455
2026-09-17T14:25:38Z,140401,100000000,2,4,block,dynamic,8.486132,9.134874,5761455
2026-09-17T14:25:38Z,140399,100000000,2,2,cyclic,static,13.388410,14.216236,5761455
2026-09-17T14:25:39Z,140404,100000000,2,8,block,guided,4.267610,4.930303,5761455
2026-09-17T14:25:39Z,140400,100000000,2,2,weighted,static,13.831470,14.433027,5761455
2026-09-17T14:25:39Z,140406,100000000,2,8,weighted,guided,3.508582,4.076403,5761455
2026-09-17T14:25:40Z,140405,100000000,2,8,cyclic,guided,3.379564,4.312089,5761455
2026-09-17T14:25:43Z,140407,100000000,4,2,block,dynamic,8.990973,9.698205,5761455
2026-09-17T14:25:44Z,140404,100000000,2,8,block,guided,4.238681,4.855974,5761455
2026-09-17T14:25:44Z,140402,100000000,2,4,cyclic,dynamic,6.702549,7.560700,5761455
2026-09-17T14:25:44Z,140406,100000000,2,8,weighted,guided,3.504657,4.138648,5761455
2026-09-17T14:25:44Z,140408,100000000,4,2,cyclic,dynamic,6.888743,7.734001,5761455
2026-09-17T14:25:45Z,140405,100000000,2,8,cyclic,guided,3.381946,4.317997,5761455
2026-09-17T14:25:45Z,140403,100000000,2,4,weighted,dynamic,6.938630,7.549984,5761455
2026-09-17T14:25:47Z,140401,100000000,2,4,block,dynamic,8.402515,8.980790,5761455
2026-09-17T14:25:49Z,140404,100000000,2,8,block,guided,4.269308,4.863400,5761455
2026-09-17T14:25:51Z,140406,100000000,2,8,weighted,guided,5.973000,6.505969,5761455
2026-09-17T14:25:52Z,140402,100000000,2,4,cyclic,dynamic,6.765891,7.581674,5761455
2026-09-17T14:25:52Z,140408,100000000,4,2,cyclic,dynamic,6.704252,7.571754,5761455
2026-09-17T14:25:53Z,140399,100000000,2,2,cyclic,static,13.363873,14.226801,5761455
2026-09-17T14:25:53Z,140405,100000000,2,8,cyclic,guided,6.681964,7.546300,5761455
