timestamp,jobid,n,threads,computation_time,total_time,primes_found
2026-09-18T01:07:13Z,144875,87500000,4,11.128916,11.736728,5080463
2026-09-18T01:07:25Z,144875,90000000,4,11.572045,12.127934,5216954
2026-09-18T01:07:37Z,144875,90000000,4,11.56975,12.143962,5216954
2026-09-18T01:07:49Z,144875,90000000,4,11.563258,12.116014,5216954
2026-09-18T01:08:02Z,144875,92500000,4,12.045481,12.54075,5353469
2026-09-18T01:08:14Z,144875,92500000,4,12.019026,12.496745,5353469
2026-09-18T01:08:27Z,144875,92500000,4,12.023015,12.497902,5353469
2026-09-18T01:08:40Z,144875,95000000,4,12.48359,12.963635,5489749
2026-09-18T01:08:53Z,144875,95000000,4,12.486949,12.973011,5489749
2026-09-18T01:09:06Z,144875,95000000,4,12.500891,13.045026,5489749
2026-09-18T01:09:19Z,144875,97500000,4,12.968391,13.542176,5625732
2026-09-18T01:09:33Z,144875,97500000,4,12.937485,13.45047,5625732
2026-09-18T01:09:46Z,144875,97500000,4,12.937686,13.466588,5625732
2026-09-18T01:10:00Z,144875,100000000,4,13.405628,13.963866,5761455
2026-09-18T01:10:14Z,144875,100000000,4,13.451877,13.9722,5761455
2026-09-18T01:10:28Z,144875,100000000,4,13.415282,13.954799,5761455
