timestamp,jobid,n,threads,computation_time,total_time,primes_found
2026-09-18T01:06:12Z,144874,87500000,4,11.212745,11.692404,5080463
2026-09-18T01:06:24Z,144874,90000000,4,11.585976,12.095322,5216954
2026-09-18T01:06:36Z,144874,90000000,4,11.58682,12.265689,5216954
2026-09-18T01:06:48Z,144874,90000000,4,11.59509,12.189657,5216954
2026-09-18T01:07:03Z,144874,92500000,4,12.685379,13.514792,5353469
2026-09-18T01:07:16Z,144874,92500000,4,12.313414,12.807207,5353469
2026-09-18T01:07:29Z,144874,92500000,4,11.293702,11.789763,5353469
2026-09-18T01:07:43Z,144874,95000000,4,13.378292,13.936929,5489749
2026-09-18T01:07:56Z,144874,95000000,4,12.51124,12.995195,5489749
2026-09-18T01:08:09Z,144874,95000000,4,12.59616,13.356178,5489749
2026-09-18T01:08:23Z,144874,97500000,4,12.990904,13.588081,5625732
2026-09-18T01:08:37Z,144874,97500000,4,13.062914,13.679906,5625732
2026-09-18T01:08:51Z,144874,97500000,4,13.339427,13.851306,5625732
2026-09-18T01:09:04Z,144874,100000000,4,13.44352,13.948091,5761455
2026-09-18T01:09:18Z,144874,100000000,4,13.427417,13.930647,5761455
2026-09-18T01:09:32Z,144874,100000000,4,13.436474,13.937069,5761455
