timestamp,jobid,n,computation_time,total_time,primes_found
2026-09-17T08:29:08Z,137040,92500000,47.737250,48.275826,5353469
2026-09-17T08:29:08Z,137039,92500000,47.767711,48.276689,5353469
2026-09-17T08:29:58Z,137039,95000000,49.633719,50.113799,5489749
2026-09-17T08:29:58Z,137041,95000000,49.622624,50.115669,5489749
2026-09-17T08:29:58Z,137040,95000000,49.611389,50.115254,5489749
2026-09-17T08:30:50Z,137039,97500000,51.437934,51.966488,5625732
2026-09-17T08:30:50Z,137041,97500000,51.447498,51.965522,5625732
2026-09-17T08:30:50Z,137040,97500000,51.442106,51.964693,5625732
2026-09-17T08:31:44Z,137041,100000000,53.317995,53.892698,5761455
2026-09-17T08:31:44Z,137039,100000000,53.327975,53.893578,5761455
2026-09-17T08:31:44Z,137040,100000000,53.321212,53.890791,5761455
