timestamp,jobid,n,strategy,processes,computation_time,total_time,primes_found
2026-09-17T01:38:53Z,135445,50000000,weighted,8,2.759871,3.101021,3001134
2026-09-17T01:38:53Z,135442,55000000,weighted,4,6.091157,6.429069,3282200
2026-09-17T01:38:57Z,135444,55000000,weighted,4,6.506837,6.836179,3282200
2026-09-17T01:38:57Z,135446,47500000,weighted,8,3.069077,3.455132,2859963
2026-09-17T01:38:57Z,135443,55000000,weighted,4,6.084565,6.474938,3282200
2026-09-17T01:38:57Z,135445,52500000,weighted,8,2.956543,3.354022,3141927
2026-09-17T01:39:00Z,135442,57500000,weighted,4,6.481035,6.875007,3422475
2026-09-17T01:39:01Z,135446,50000000,weighted,8,3.091885,3.505303,3001134
2026-09-17T01:39:02Z,135445,55000000,weighted,8,3.157408,3.565181,3282200
2026-09-17T01:39:04Z,135444,57500000,weighted,4,6.488420,6.794197,3422475
2026-09-17T01:39:04Z,135447,20000000,weighted,8,0.756883,0.923516,1270607
2026-09-17T01:39:04Z,135443,57500000,weighted,4,6.476609,6.920428,3422475
2026-09-17T01:39:06Z,135446,52500000,weighted,8,3.001164,3.364190,3141927
2026-09-17T01:39:06Z,135447,22500000,weighted,8,0.893602,1.053748,1418640
2026-09-17T01:39:06Z,135445,57500000,weighted,8,3.363966,3.808326,3422475
2026-09-17T01:39:08Z,135442,60000000,weighted,4,6.882527,7.244372,3562115
2026-09-17T01:39:08Z,135447,25000000,weighted,8,1.036195,1.215282,1565927
2026-09-17T01:39:10Z,135446,55000000,weighted,8,3.159539,3.510126,3282200
2026-09-17T01:39:11Z,135447,27500000,weighted,8,1.185677,1.366777,1712204
2026-09-17T01:39:11Z,135445,60000000,weighted,8,3.572707,3.979652,3562115
2026-09-17T01:39:12Z,135444,60000000,weighted,4,6.888464,7.195762,3562115
2026-09-17T01:39:12Z,135443,60000000,weighted,4,6.880807,7.317598,3562115
2026-09-17T01:39:13Z,135447,30000000,weighted,8,1.340607,1.547602,1857859
2026-09-17T01:39:15Z,135446,57500000,weighted,8,3.366168,3.735093,3422475
2026-09-17T01:39:16Z,135447,32500000,weighted,8,1.500481,1.726367,2002749
2026-09-17T01:39:16Z,135445,62500000,weighted,8,3.789633,4.211264,3701487
2026-09-17T01:39:17Z,135442,62500000,weighted,4,7.301723,7.655503,3701487
2026-09-17T01:39:19Z,135447,35000000,weighted,8,1.894876,2.163664,2146775
2026-09-17T01:39:20Z,135446,60000000,weighted,8,3.575421,3.968370,3562115
2026-09-17T01:39:20Z,135444,62500000,weighted,4,7.293076,7.607743,3701487
2026-09-17T01:39:21Z,135443,62500000,weighted,4,7.294595,7.733052,3701487
2026-09-17T01:39:22Z,135445,65000000,weighted,8,4.001286,4.469215,3840554
2026-09-17T01:39:23Z,135447,37500000,weighted,8,2.659494,2.914894,2290350
2026-09-17T01:39:25Z,135446,62500000,weighted,8,3.785357,4.192623,3701487
2026-09-17T01:39:26Z,135442,65000000,weighted,4,8.404613,8.791062,3840554
2026-09-17T01:39:26Z,135447,40000000,weighted,8,2.011882,2.296940,2433654
2026-09-17T01:39:27Z,135445,67500000,weighted,8,4.222942,4.664388,3979592
2026-09-17T01:39:29Z,135444,65000000,weighted,4,7.710108,8.036870,3840554
2026-09-17T01:39:29Z,135447,42500000,weighted,8,2.192616,2.476044,2576200
2026-09-17T01:39:29Z,135443,65000000,weighted,4,7.712791,8.163813,3840554
2026-09-17T01:39:30Z,135446,65000000,weighted,8,4.003621,4.402661,3840554
2026-09-17T01:39:33Z,135447,45000000,weighted,8,2.377487,2.689275,2718160
2026-09-17T01:39:33Z,135445,70000000,weighted,8,4.465498,4.905173,4118064
2026-09-17T01:39:35Z,135442,67500000,weighted,4,8.138400,8.594577,3979592
2026-09-17T01:39:36Z,135446,67500000,weighted,8,4.228980,4.636248,3979592
2026-09-17T01:39:37Z,135447,47500000,weighted,8,2.566780,2.896636,2859963
2026-09-17T01:39:38Z,135444,67500000,weighted,4,8.135699,8.476407,3979592
2026-09-17T01:39:39Z,135443,67500000,weighted,4,8.135186,8.573099,3979592
2026-09-17T01:39:39Z,135445,72500000,weighted,8,4.687660,5.156052,4256409
2026-09-17T01:39:41Z,135447,50000000,weighted,8,2.760305,3.086781,3001134
2026-09-17T01:39:41Z,135446,70000000,weighted,8,4.445916,4.887723,4118064
2026-09-17T01:39:45Z,135442,70000000,weighted,4,8.568650,8.992483,4118064
2026-09-17T01:39:45Z,135447,52500000,weighted,8,2.957048,3.325566,3141927
2026-09-17T01:39:46Z,135445,75000000,weighted,8,4.911979,5.384538,4394304
2026-09-17T01:39:47Z,135444,70000000,weighted,4,8.568788,8.931769,4118064
2026-09-17T01:39:47Z,135446,72500000,weighted,8,4.675820,5.106348,4256409
2026-09-17T01:39:48Z,135443,70000000,weighted,4,8.567371,9.015103,4118064
2026-09-17T01:39:50Z,135447,55000000,weighted,8,3.157300,3.552753,3282200
2026-09-17T01:39:52Z,135445,77500000,weighted,8,5.143256,5.616561,4532043
2026-09-17T01:39:54Z,135446,75000000,weighted,8,4.902051,5.360572,4394304
2026-09-17T01:39:54Z,135447,57500000,weighted,8,3.362618,3.703144,3422475
2026-09-17T01:39:55Z,135442,72500000,weighted,4,9.008128,9.512361,4256409
2026-09-17T01:39:57Z,135444,72500000,weighted,4,9.008721,9.391392,4256409
2026-09-17T01:39:58Z,135443,72500000,weighted,4,9.001779,9.544986,4256409
2026-09-17T01:39:59Z,135447,60000000,weighted,8,3.572058,3.964085,3562115
2026-09-17T01:39:59Z,135445,80000000,weighted,8,5.373707,5.870597,4669382
2026-09-17T01:40:00Z,135446,77500000,weighted,8,5.136851,5.665145,4532043
2026-09-17T01:40:04Z,135447,62500000,weighted,8,3.951569,4.374020,3701487
2026-09-17T01:40:05Z,135442,75000000,weighted,4,9.455745,9.910774,4394304
2026-09-17T01:40:06Z,135445,82500000,weighted,8,5.627675,6.248656,4806760
2026-09-17T01:40:07Z,135446,80000000,weighted,8,5.374752,5.875878,4669382
2026-09-17T01:40:08Z,135444,75000000,weighted,4,9.463100,9.862591,4394304
2026-09-17T01:40:09Z,135443,75000000,weighted,4,9.453487,9.984689,4394304
2026-09-17T01:40:10Z,135447,65000000,weighted,8,4.004880,4.433722,3840554
2026-09-17T01:40:14Z,135445,85000000,weighted,8,5.871401,6.440394,4943731
2026-09-17T01:40:14Z,135446,82500000,weighted,8,5.613148,6.094631,4806760
2026-09-17T01:40:15Z,135447,67500000,weighted,8,4.222355,4.608314,3979592
2026-09-17T01:40:16Z,135442,77500000,weighted,4,9.902797,10.335814,4532043
2026-09-17T01:40:19Z,135444,77500000,weighted,4,9.908752,10.291698,4532043
2026-09-17T01:40:20Z,135443,77500000,weighted,4,9.899974,10.471075,4532043
2026-09-17T01:40:21Z,135447,70000000,weighted,8,4.446918,4.882063,4118064
2026-09-17T01:40:21Z,135446,85000000,weighted,8,5.856308,6.361255,4943731
2026-09-17T01:40:21Z,135445,87500000,weighted,8,6.110195,6.764961,5080463
2026-09-17T01:40:27Z,135447,72500000,weighted,8,4.671910,5.153019,4256409
2026-09-17T01:40:28Z,135442,80000000,weighted,4,10.370086,10.849740,4669382
2026-09-17T01:40:29Z,135446,87500000,weighted,8,6.101522,6.695820,5080463
2026-09-17T01:40:29Z,135445,90000000,weighted,8,6.359991,6.933496,5216954
2026-09-17T01:40:30Z,135444,80000000,weighted,4,10.357460,10.752772,4669382
2026-09-17T01:40:31Z,135443,80000000,weighted,4,10.357739,10.880684,4669382
2026-09-17T01:40:33Z,135447,75000000,weighted,8,4.902062,5.405540,4394304
2026-09-17T01:40:37Z,135446,90000000,weighted,8,6.351136,6.883225,5216954
2026-09-17T01:40:38Z,135445,92500000,weighted,8,7.566386,8.134417,5353469
2026-09-17T01:40:41Z,135447,77500000,weighted,8,6.451972,6.951977,4532043
2026-09-17T01:40:42Z,135444,82500000,weighted,4,10.838745,11.239777,4806760
2026-09-17T01:40:42Z,135442,82500000,weighted,4,13.791064,14.315240,4806760
2026-09-17T01:40:43Z,135443,82500000,weighted,4,10.824192,11.398413,4806760
2026-09-17T01:40:45Z,135446,92500000,weighted,8,6.602075,7.190614,5353469
2026-09-17T01:40:47Z,135445,95000000,weighted,8,6.873296,7.534185,5489749
2026-09-17T01:40:48Z,135447,80000000,weighted,8,5.375654,5.879159,4669382
2026-09-17T01:40:53Z,135446,95000000,weighted,8,6.856664,7.514889,5489749
2026-09-17T01:40:54Z,135444,85000000,weighted,4,11.308736,11.770627,4943731
2026-09-17T01:40:55Z,135442,85000000,weighted,4,11.303309,11.822609,4943731
2026-09-17T01:40:55Z,135447,82500000,weighted,8,5.623736,6.189025,4806760
2026-09-17T01:40:56Z,135445,97500000,weighted,8,7.121279,7.865179,5625732
2026-09-17T01:40:56Z,135443,85000000,weighted,4,11.293646,11.930781,4943731
2026-09-17T01:41:02Z,135446,97500000,weighted,8,7.133059,7.757141,5625732
2026-09-17T01:41:03Z,135447,85000000,weighted,8,5.875210,6.397901,4943731
2026-09-17T01:41:05Z,135445,100000000,weighted,8,7.379553,8.023417,5761455
2026-09-17T01:41:07Z,135444,87500000,weighted,4,11.778643,12.233702,5080463
2026-09-17T01:41:08Z,135442,87500000,weighted,4,11.775634,12.306230,5080463
2026-09-17T01:41:09Z,135443,87500000,weighted,4,11.767522,12.350327,5080463
2026-09-17T01:41:11Z,135447,87500000,weighted,8,6.109228,6.640248,5080463
